pce,pop,psavert,uempmed,unemploy
762.9,209725,11.4,5.4,4923
771.2,209896,11.4,6.1,4913
777.7,210075,11.8,6,4939
782.5,210278,12,5.6,4849
796.3,210479,12.7,5.7,4875
801.8,210656,13.4,5.7,4602
807.5,210821,13.4,6.1,4543
817.9,210985,12.1,5.7,4326
827.2,211120,12.2,5.2,4452
834.2,211254,12.4,5.5,4394
837.2,211420,12.8,5,4459
843.1,211577,12.8,4.9,4329
845.8,211746,13.2,5,4363
855.7,211909,12.8,5.2,4305
854.9,212092,13.6,4.9,4305
870.9,212289,12.8,5.4,4350
869.8,212475,14,5.5,4144
878.6,212634,14,5.1,4396
878.4,212785,14.4,4.7,4489
886.4,212932,14,5,4644
891.6,213074,13.8,5.1,4731
903.3,213211,13,4.8,4634
912.7,213361,12.7,5,4618
924.3,213513,12.3,4.6,4705
929.9,213686,12.5,5.3,4927
939.8,213854,12.7,5.7,5063
956.6,214042,11.6,5,5022
956.8,214246,12.3,5.3,5437
961,214451,13,5.5,5523
958,214625,13.4,5.2,6140
963.6,214782,13.6,5.7,6636
977.4,214931,12.8,6.3,7501
991.3,215065,12.1,7.1,7520
992.6,215198,12.3,7.2,7978
997.2,215353,13.9,8.7,8210
1021.2,215523,17,9.4,8433
1029.1,215768,13.9,8.8,8220
1042.2,215973,12.3,8.6,8127
1049.4,216195,12.6,9.2,7928
1057.2,216393,12.6,9.2,7923
1063.2,216587,13,8.6,7897
1078,216771,12.3,9.5,7794
1094.4,216931,11.5,9,7744
1109.5,217095,11.3,9,7534
1110.1,217249,11.9,8.2,7326
1117.3,217381,11.8,8.7,7230
1127.8,217528,11.2,8.2,7330
1125.1,217685,11.8,8.3,7053
1142.9,217861,10.9,7.8,7322
1152.1,218035,11.2,7.7,7490
1160.5,218233,11.2,7.9,7518
1171.4,218440,10.8,7.8,7380
1179.5,218644,10.6,7.7,7430
1191.7,218834,10.9,8.4,7620
1214.1,219006,9.9,8,7545
1217.4,219179,9.8,7.5,7280
1233.7,219344,8.5,7.2,7443
1240.7,219504,9.8,7.2,7307
1249.7,219684,9.9,7.3,7059
1259.6,219859,9.8,7.9,6911
1266.3,220046,10.2,6.2,7134
1283.2,220239,10.1,7.1,6829
1288.5,220458,10.5,7,6925
1297.4,220688,10.7,6.7,6751
1314.3,220904,10.7,6.9,6763
1330,221109,10.8,7,6815
1339.3,221303,11,6.8,6386
1333,221477,11.4,6.5,6489
1358.9,221629,10.7,6.7,6318
1381.4,221792,10.5,6.2,6337
1400.2,221991,10.3,6.1,6180
1415.9,222176,9.8,5.7,6127
1429.8,222379,9.5,6,6028
1430.8,222585,10.3,5.8,6309
1451,222805,9.9,5.8,6080
1456.9,223053,10,5.6,6125
1471,223271,10.2,5.9,5947
1484.7,223477,10,5.5,6077
1500.5,223670,10,5.6,6228
1506.3,223865,10.6,5.9,6109
1521.6,224053,10.5,5.9,6173
1535,224235,10.7,5.9,6109
1542.3,224438,10.4,5.4,6069
1562.7,224632,9.8,5.6,5840
1579.6,224843,9.3,5.6,5959
1590.1,225055,10,5.9,5996
1619.7,225295,9.2,4.8,6320
1638.1,225547,8.9,5.5,6190
1646,225801,9.3,5.5,6296
1661.7,226027,9.4,5.3,6238
1670.7,226243,9.8,5.7,6325
1701.6,226451,9.6,5.3,6683
1705.6,226656,9.8,5.8,6702
1712.4,226849,9.8,6,6729
1699.5,227061,10.5,5.8,7358
1704.3,227251,10.6,5.7,7984
1723,227522,10.4,6.4,8098
1751.2,227726,10.5,7,8363
1767.7,227953,10.6,7.5,8281
1784.1,228186,11.1,7.7,8021
1820.4,228417,11,7.5,8088
1830.2,228612,11.5,7.7,8023
1855.5,228779,11.2,7.5,7718
1874.7,228937,10.5,7.4,8071
1889.4,229071,10.4,7.1,8051
1908.1,229224,10.3,7.1,7982
1909.1,229403,10.3,7.4,7869
1918.2,229575,10.4,6.9,8174
1938.5,229761,10.2,6.6,8098
1945.7,229966,11.7,7.1,7863
1969.8,230187,11.4,7.2,8036
1968.2,230412,11.9,6.8,8230
1966.2,230641,12.5,6.8,8646
1972.4,230822,12.7,6.9,9029
1989.9,230989,12,6.9,9267
1997.4,231157,12.2,7.1,9397
2021.4,231313,11.6,7.5,9705
2024.4,231470,11.7,7.7,9895
2027.2,231645,12.4,8.1,10244
2045.9,231809,11.7,8.5,10335
2050.2,231992,11.6,9.5,10538
2075.1,232188,12,8.5,10849
2083.7,232392,11.9,8.7,10881
2108.9,232599,11.1,9.5,11217
2130.7,232816,10.7,9.7,11529
2154.7,232993,10.3,10,11938
2167.4,233160,10.3,10.2,12051
2180.1,233322,10.4,11.1,11534
2183.1,233473,10.5,9.8,11545
2208.6,233613,10,10.4,11408
2231.8,233781,9.6,10.9,11268
2251,233922,9.4,12.3,11154
2280.8,234118,8.5,11.3,11246
2309,234307,9,10.1,10548
2324.8,234501,8.7,9.3,10623
2339.1,234701,9,9.3,10282
2361.8,234907,9.1,9.4,9887
2370.4,235078,9.7,9.3,9499
2397.9,235235,9.5,8.7,9331
2423.8,235385,9.4,9.1,9008
2408.1,235527,11.1,8.3,8791
2436.4,235675,10.9,8.3,8746
2462.6,235839,10.9,8.2,8762
2479.8,235993,10.5,9.1,8456
2501.2,236160,10.5,7.5,8226
2500.5,236348,11,7.5,8537
2518.4,236549,11.2,7.3,8519
2540.3,236760,11.2,7.6,8367
2538.2,236976,11.2,7.2,8381
2578.6,237159,10.3,7.2,8198
2590,237316,10.6,7.3,8358
2626.3,237468,9.7,6.8,8423
2648.6,237602,8.5,7.1,8321
2656.8,237732,8.1,7.1,8339
2668.4,237900,9.4,6.9,8395
2705.9,238074,10.5,6.9,8302
2699.3,238270,9,6.6,8460
2725.9,238466,8.5,6.9,8513
2762.7,238679,7.5,7.1,8196
2805.6,238898,6.7,6.9,8248
2767.1,239113,8.5,7.1,8298
2782.7,239307,8.4,7,8128
2822.8,239477,8,6.8,8138
2838.3,239638,8,6.7,7795
2831.2,239788,8.7,6.9,8402
2834.7,239928,9.3,6.8,8383
2846.5,240094,9.1,6.7,8364
2869,240271,8.6,6.8,8439
2873.5,240459,8.8,7,8508
2893.4,240651,8.7,6.9,8319
2911.1,240854,8.4,7.1,8135
2984.6,241068,6.6,7.4,8310
2945.9,241274,7.8,7,8243
2941.7,241467,8.2,7.1,8159
3010.8,241620,6.4,7.1,7883
2949.9,241784,9.1,6.9,7892
3016.5,241930,7.9,6.6,7865
3028.4,242079,7.9,6.6,7862
3054.1,242252,3.8,7.1,7542
3063.9,242423,7.5,6.6,7574
3088.4,242608,7,6.5,7398
3110.7,242804,6.8,6.5,7268
3147,243012,6.5,6.4,7261
3142.9,243223,7,6,7102
3151.1,243446,7.6,6.3,7227
3160.9,243639,7.9,6.2,7035
3190.9,243809,8,6,6936
3230.7,243981,7.5,6.2,6953
3238.5,244131,7.9,6.3,6929
3277.8,244279,7.5,6.4,6876
3280.4,244445,8.1,5.9,6601
3311,244610,7.7,5.9,6779
3335.6,244806,7.8,5.8,6546
3359.3,245021,7.9,6.1,6605
3384.3,245240,7.8,5.9,6843
3391.4,245464,8.2,5.7,6604
3430.4,245693,8,5.6,6568
3447,245884,7.7,5.7,6537
3476.3,246056,7.7,5.9,6518
3499.9,246224,8,5.6,6682
3503.9,246378,8.4,5.4,6359
3514.5,246530,8.9,5.4,6205
3558.6,246721,7.9,5.4,6468
3567.5,246906,7.6,5.3,6375
3582.4,247114,7.6,5.4,6577
3601.7,247342,7.7,5.6,6495
3636.8,247573,7.1,5,6511
3638.1,247816,7.5,4.9,6590
3650,248067,7.9,4.9,6630
3659.7,248281,8,4.8,6725
3700.7,248479,7.2,4.9,6667
3747.2,248659,7.4,5.1,6752
3744.8,248827,8.1,5.3,6651
3771.5,249012,7.8,5.1,6598
3786.7,249306,8.2,4.8,6797
3792.5,249565,8,5.2,6742
3821.3,249849,7.9,5.2,6590
3838.5,250132,8,5.4,6922
3865,250439,7.5,5.4,7188
3886.7,250751,7.5,5.6,7368
3887.1,251057,7.3,5.8,7459
3888.4,251346,7.4,5.7,7764
3877.8,251626,8.2,5.9,7901
3857.6,251889,8.7,6,8015
3883.3,252135,8.3,6.2,8265
3929.7,252372,7.4,6.7,8586
3923.9,252643,8,6.6,8439
3950,252913,7.7,6.4,8736
3957.1,253207,8.2,6.9,8692
3982.4,253493,7.6,7,8586
3985.4,253807,7.9,7.3,8666
4001.2,254126,8.1,6.8,8722
3992.9,254435,8.6,7.2,8842
4020.6,254718,8.4,7.5,8931
4037.7,254964,9.1,7.8,9198
4101.9,255214,8.8,8.1,9283
4116.8,255448,9.2,8.2,9454
4134.3,255703,9.2,8.3,9460
4149,255992,9.4,8.5,9415
4176.1,256285,9.4,8.8,9744
4195,256589,9.5,8.7,10040
4223,256894,9.1,8.6,9850
4239.3,257232,9.2,8.8,9787
4273.9,257548,8.2,8.6,9781
4303.5,257861,7.4,9,9398
4319.5,258147,7.3,9,9565
4355.6,258413,9.9,9.3,9557
4359.7,258679,8.3,8.6,9325
4374.3,258919,8.4,8.5,9183
4371.4,259152,8.3,8.5,9056
4412.4,259414,8.2,8.4,9110
4441.3,259680,7.7,8.1,9149
4458.8,259963,7.2,8.3,9121
4487.7,260255,7,8.2,8930
4499.9,260566,7.1,8.2,8763
4530.5,260867,6.3,8.3,8714
4552,261163,5.6,8,8750
4573.4,261425,5.6,8.3,8542
4590.7,261674,8.4,8.3,8477
4604.8,261919,6.4,8.6,8630
4652.3,262123,5.9,9.2,8583
4665.4,262352,6.2,9.3,8470
4690.7,262631,5.8,9.1,8331
4689.2,262877,7.1,9.2,7915
4728.8,263152,6.3,9.3,7927
4740.8,263436,6.4,9,7946
4783,263724,5.9,8.9,7933
4795.5,264017,6.2,9.2,7734
4833.3,264301,6.5,10,7632
4846,264559,6.4,9,7375
4862.3,264804,6.5,8.7,7230
4871.9,265044,6.9,8,7375
4871.7,265270,7.3,8.1,7187
4906.5,265495,7,8.3,7153
4911.5,265755,6.3,8.3,7645
4954.4,265998,6.5,9.1,7430
4999,266270,6.1,7.9,7427
4991.8,266557,6.4,8.5,7527
5027.1,266843,6.1,8.3,7484
5042.5,267152,6.1,7.9,7478
5035.9,267456,6.5,8.2,7328
5077.8,267715,6,8,7426
5120.1,267943,5.5,8.3,7423
5108.9,268151,6.1,8.3,7491
5156.1,268364,6.1,7.8,7313
5196.4,268595,6,8.3,7318
5231.6,268853,5,8.6,7415
5247.2,269108,6.1,8.6,7423
5253.7,269386,6.5,8.3,7095
5275.8,269667,6.1,8.3,7337
5299,269976,5.9,8.4,6882
5320,270284,6,8.5,6979
5351.5,270581,5.8,8.3,7031
5375,270878,5.8,7.7,7236
5401.7,271125,5.7,7.8,7253
5434.9,271360,5.6,7.8,7158
5457.7,271585,5.7,8.1,7102
5477.6,271821,5.8,7.9,7000
5482.8,272083,5.9,8.3,6873
5484.3,272342,6.2,8,6655
5518.2,272622,6,8,6799
5573,272912,5.5,8.3,6655
5611.8,273237,5.4,7.8,6608
5625.6,273553,5.6,8.2,6656
5661.2,273852,5.6,7.7,6454
5685.2,274126,5.8,7.6,6308
5716.4,274372,5.8,7.5,6476
5714.4,274626,6.7,7.4,6368
5748.4,274838,6.8,7,6306
5775,275047,6.9,6.8,6422
5812.9,275304,6.6,6.7,5941
5863.3,275564,6.3,6,6047
5897.2,275836,6.2,6.9,6212
5915.6,276115,6.3,6.7,6259
5951,276418,6.2,6.8,6179
5991.8,276714,5.8,6.7,6300
6025.8,277003,5.6,5.8,6280
6042.7,277277,5.7,6.6,6100
6098.2,277526,5.2,6.8,6032
6099.1,277790,5.7,6.9,5976
6128.2,277992,5.6,6.8,6111
6159.7,278198,5.3,6.8,5783
6223.6,278451,4.5,6.2,6004
6253.4,278717,4.3,6.5,5796
6281.9,279001,4.2,6.3,5951
6309.5,279295,4.1,5.8,6025
6354.8,279602,4,6.5,5838
6407.4,279903,3.5,6,5915
6431.2,280203,3.9,6.1,5778
6467.2,280471,4.1,6.2,5716
6568.2,280716,3.7,5.8,5653
6564.7,280976,4.7,5.8,5708
6648.7,281190,4.2,6.1,5858
6714.8,281409,3.9,6,5733
6701,281653,4.4,6.1,5481
6737.2,281877,4.2,5.8,5758
6773.6,282126,4.2,5.7,5651
6793.7,282385,4.6,6,5747
6828.7,282653,4.6,6.3,5853
6913.1,282932,3.8,5.2,5625
6919.6,283201,4,6.1,5534
6934.5,283453,3.8,6.1,5639
6979.1,283696,3.5,6,5634
7009.8,283920,4,5.8,6023
7029.3,284137,4.1,6.1,6089
7022.1,284350,4.5,6.6,6141
7036.2,284581,4.3,5.9,6271
7083.1,284810,3.7,6.3,6226
7097.1,285062,3.7,6,6484
7109.2,285309,5,6.8,6583
7146.1,285570,6.1,6.9,7042
7054.8,285843,6.3,7.2,7142
7250.2,286098,2.7,7.3,7694
7209.6,286341,3.4,7.7,8003
7190,286570,3.8,8.2,8258
7217.7,286788,5.6,8.4,8182
7259.7,286994,5.3,8.3,8215
7276.7,287190,5.3,8.4,8304
7345.6,287397,5.1,8.9,8599
7321.8,287623,5.6,9.5,8399
7366.1,287864,5.4,11,8393
7424.2,288105,4.6,8.9,8390
7449,288360,4.4,9,8304
7426.1,288618,4.9,9.5,8251
7469.3,288870,4.7,9.6,8307
7499.8,289106,4.7,9.3,8520
7552.6,289313,4.5,9.6,8640
7579.5,289518,4.5,9.6,8520
7573.6,289714,4.7,9.5,8618
7627.5,289911,4.6,9.7,8588
7661.7,290125,4.6,10.2,8842
7669.2,290346,5.1,9.9,8957
7722.9,290584,4.9,11.5,9266
7783.8,290820,5.5,10.3,9011
7878.9,291072,5.3,10.1,8896
7874,291321,4.5,10.2,8921
7890.6,291574,4.6,10.4,8732
7950.4,291807,4.7,10.3,8576
7974.3,292008,4.8,10.4,8317
8037.3,292192,4.5,10.6,8370
8072.1,292368,4.5,10.2,8167
8121,292561,4.5,10.2,8491
8141.6,292779,4.7,9.5,8170
8212.9,292997,4.7,9.9,8212
8204.6,293223,5,11,8286
8270.7,293463,4.5,8.9,8136
8294.4,293719,4.6,9.2,7990
8373,293971,3.9,9.6,7927
8417.9,294230,3.8,9.5,8061
8458.4,294466,3.4,9.7,7932
8516.5,294694,6.3,9.5,7934
8521.2,294914,2.9,9.4,7784
8575.7,295105,2.7,9.2,7980
8622.5,295287,2.7,9.3,7737
8715.9,295490,2.1,9,7672
8680.6,295704,3,9.1,7651
8775.3,295936,2.2,9,7524
8867.9,296186,1.9,8.8,7406
8872.6,296440,2.4,9.2,7345
8923.6,296707,2.3,8.4,7553
8959.6,296972,2.6,8.6,7453
8987.7,297207,2.7,8.5,7566
9026.8,297431,2.8,8.7,7279
9100.1,297647,3.7,8.6,7064
9134.7,297854,3.8,9.1,7184
9168.1,298060,3.7,8.7,7072
9223.3,298281,3.4,8.4,7120
9254.1,298496,3.2,8.5,6980
9283.8,298739,3.4,7.3,7001
9360.4,298996,2.9,8,7175
9368.6,299263,3,8.4,7091
9393.9,299554,3,8,6847
9413.3,299835,3.1,7.9,6727
9431.2,300094,3.2,8.3,6872
9516.5,300340,3,7.5,6762
9553.1,300574,3,8.3,7116
9590.8,300802,3.3,8.5,6927
9631.6,301021,3.6,9.1,6731
9670.6,301254,3.2,8.6,6850
9708.9,301483,3,8.2,6766
9723.3,301739,2.8,7.7,6979
9759.6,302004,2.8,8.7,7149
9800.6,302267,2.6,8.8,7067
9837.5,302546,2.8,8.7,7170
9853.9,302807,2.8,8.4,7237
9928.6,303054,2.5,8.6,7240
9947.6,303287,3,8.4,7645
9963.2,303506,3.4,9,7685
9955.7,303711,3.9,8.7,7497
10004.2,303907,4,8.7,7822
10044.6,304117,3.5,9.4,7637
10093.3,304323,7.9,7.9,8395
10149.4,304556,5.6,9,8575
10151.1,304798,4.4,9.7,8937
10140.3,305045,3.7,9.7,9438
10083.2,305309,4.4,10.2,9494
9983.3,305554,5.4,10.4,10074
9851.2,305786,6.3,9.8,10538
9744.2,306004,6.5,10.5,11286
9792.1,306208,6.5,10.7,12058
9775.7,306402,5.9,11.7,12898
9742.9,306588,6.1,12.3,13426
9741.9,306787,6.7,13.1,13853
9759.7,306984,8.1,14.2,14499
9807.6,307206,6.7,17.2,14707
9835.2,307439,6,16,14601
9961.9,307685,4.9,16.3,14814
9875.4,307946,5.9,17.8,15009
9924.6,308189,5.4,18.9,15352
9946.1,308418,5.7,19.8,15219
10000.6,308633,5.7,20.1,15098
10003.4,308833,5.6,20,15046
10034.7,309027,5.2,19.9,15113
10095.5,309212,5,20.4,15202
10106.9,309191,5.6,22.1,15325
10140.2,309376,6,22.3,14849
10165.9,309562,5.9,25.2,14474
10184.3,309767,5.9,22.3,14512
10247.1,309989,5.8,21,14648
10268.9,310218,5.6,20.3,14579
10343.7,310451,5.4,21.2,14516
10399.8,310657,5.3,21,15081
10436.1,310853,5.9,21.9,14348
10474.7,311042,6.2,21.6,14046
10512.4,311205,6.4,21.1,13828
10583.5,311367,6,21.5,13728
10624.6,311548,5.9,20.9,13956
10653.1,311729,5.9,21.6,13853
10676.4,311923,6.1,22.3,13958
10727.1,312139,6.3,22,13756
10745.6,312355,6.2,22.4,13806
10790.6,312587,5.7,22,13929
10827.6,312810,5.5,20.5,13599
10828.7,313003,5.6,20.9,13309
10827.3,313191,6.4,20.5,13071
10905.5,313373,6.6,21,12812
10979.2,313537,6.7,19.8,12828
10994.3,313705,6.9,19.2,12696
11030.2,313881,7,19.1,12636
11029,314052,7,19.9,12668
11032.5,314247,7.1,20.1,12688
11074.8,314449,6.6,17.5,12657
11104.8,314673,6.4,18.5,12449
11179.6,314909,6.5,18.8,12106
11199.9,315129,7.1,19.7,12141
11222.8,315341,8.2,18.5,12026
11245.2,315532,10.5,17.6,12272
11303.2,315701,4.5,16.2,12497
11371.4,315869,4.7,17.5,11967
11378.8,316041,4.9,17.7,11653
11373.3,316220,5.1,17.1,11735
11407.1,316395,5.2,17,11671
11462.4,316594,5.3,16.6,11736
11484.7,316799,5.1,16.3,11357
11511.6,317019,5.3,16.8,11241
11559.6,317253,5.2,16.5,11251
11602.1,317470,4.7,16.1,11161
11671.5,317679,4.3,17,10814
11686.3,317867,4.1,17,10376
11663.9,318032,4.9,15.9,10280
11714.4,318200,5,16.2,10387
11807.1,318373,4.8,15.9,10384
11825.2,318552,5,15.6,9696
11864.3,318728,5.1,14.5,9761
11922.6,318927,5.1,13.2,9453
11944.4,319133,5.1,13.5,9648
12017,319354,4.7,13.3,9568
12044.6,319588,4.6,13.3,9237
12096.4,319804,4.6,13.5,8983
12142.2,320013,4.5,12.8,9071
12122,320201,5,12.6,8688
12080.8,320367,5.5,13.4,8979
12095.9,320534,5.7,13.1,8705
12161.5,320707,5.2,12.2,8575
12158.9,320887,5.6,11.7,8549
